transaction_id,reference_id,amount,date,counterparty,tds_section,tds_amount,tds_rate
TXN_1001,PAY-IN-20260801-0001,289544.93,2026-08-01,Meesho Technologies,194C,5790.9,0.02
TXN_1002,PAY-IN-20260801-0002,113976.87,2026-08-05,Meesho Technologies,194-O,1139.77,0.01
TXN_1003,PAY-IN-20260801-0003,306131.27,2026-08-03,Nykaa Retail Logistics,194J,30613.13,0.1
TXN_1004,PAY-IN-20260801-0004,19143.29,2026-08-03,Amazon Seller Services IN,194H,957.16,0.05
TXN_1005,PAY-IN-20260801-0005,229883.1,2026-08-01,Zepto Express Logistics,194H,11494.16,0.05
TXN_1006,PAY-IN-20260801-0006,323628.73,2026-08-14,Amazon Seller Services IN,194J,32362.87,0.1
TXN_1007,PAY-IN-20260801-0007,267223.23,2026-08-01,BigBasket Supermarket Groceries,194H,13361.16,0.05
TXN_1008,PAY-IN-20260801-0008,315672.03,2026-08-11,Razorpay Software Pvt Ltd,194H,15783.6,0.05
TXN_1009,PAY-IN-20260801-0009,100814.62,2026-08-11,Zomato Merchant Services,194-O,1008.15,0.01
TXN_1010,PAY-IN-20260801-0010,174067.65,2026-08-12,Tata CLiQ Digital,194C,3481.35,0.02
TXN_1011,PAY-IN-20260801-0011,273658.08,2026-08-02,Meesho Technologies,194J,27365.81,0.1
TXN_1012,PAY-IN-20260801-0012,243621.5,2026-08-13,Zomato Merchant Services,194C,4872.43,0.02
TXN_1013,PAY-IN-20260801-0013,374085.08,2026-08-12,Nykaa Retail Logistics,194H,18704.25,0.05
TXN_1014,PAY-IN-20260801-0014,318534.47,2026-08-02,Myntra Designs Pvt Ltd,194H,15926.72,0.05
TXN_1015,PAY-IN-20260801-0015,349015.41,2026-08-03,Tata CLiQ Digital,194H,17450.77,0.05
TXN_1016,PAY-IN-20260801-0016,390585.23,2026-08-13,Razorpay Software Pvt Ltd,194J,39058.52,0.1
TXN_1017,PAY-IN-20260801-0017,287879.58,2026-08-12,Flipkart Internet Pvt Ltd,194C,5757.59,0.02
TXN_1018,PAY-IN-20260801-0018,163095.46,2026-08-09,Meesho Technologies,194-O,1630.95,0.01
TXN_1019,PAY-IN-20260801-0019,276063.3,2026-08-06,Zepto Express Logistics,194H,13803.17,0.05
TXN_1020,PAY-IN-20260801-0020,77714.11,2026-08-13,Razorpay Software Pvt Ltd,194H,3885.71,0.05
TXN_1021,PAY-IN-20260801-0021,309653.34,2026-08-02,Amazon Seller Services IN,194-O,3096.53,0.01
TXN_1022,PAY-IN-20260801-0022,363245.38,2026-08-13,Razorpay Software Pvt Ltd,194-O,3632.45,0.01
